[2025-08-25T16:03:24.576+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-25T16:03:24.661+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [queued]>
[2025-08-25T16:03:24.689+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [queued]>
[2025-08-25T16:03:24.690+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-08-25T16:03:24.722+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_csv_to_postgres> on 2025-08-25 16:03:18.154270+00:00
[2025-08-25T16:03:24.739+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=881) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-08-25T16:03:24.741+0000] {standard_task_runner.py:64} INFO - Started process 883 to run task
[2025-08-25T16:03:24.746+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'daily_generate_orders', 'load_csv_to_postgres', 'manual__2025-08-25T16:03:18.154270+00:00', '--job-id', '549', '--raw', '--subdir', 'DAGS_FOLDER/generate_fake_shop_csv.py', '--cfg-path', '/tmp/tmp5gzsio1n']
[2025-08-25T16:03:24.759+0000] {standard_task_runner.py:91} INFO - Job 549: Subtask load_csv_to_postgres
[2025-08-25T16:03:24.786+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-08-25T16:03:24.867+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:03:18.154270+00:00 [running]> on host b5ea13053d47
[2025-08-25T16:03:25.217+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='daily_generate_orders' AIRFLOW_CTX_TASK_ID='load_csv_to_postgres' AIRFLOW_CTX_EXECUTION_DATE='2025-08-25T16:03:18.154270+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-25T16:03:18.154270+00:00'
[2025-08-25T16:03:25.218+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-25T16:03:25.306+0000] {base.py:84} INFO - Using connection ID 'postgres_conn' for task execution.
[2025-08-25T16:03:25.426+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.489+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.541+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.599+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.641+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.685+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.718+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.812+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.885+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:25.961+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.009+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:03:26.068+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
