[2025-08-25T16:06:21.555+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-08-25T16:06:21.615+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:06:17.267720+00:00 [queued]>
[2025-08-25T16:06:21.626+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:06:17.267720+00:00 [queued]>
[2025-08-25T16:06:21.627+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2025-08-25T16:06:21.644+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_csv_to_postgres> on 2025-08-25 16:06:17.267720+00:00
[2025-08-25T16:06:21.654+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/task/task_runner/standard_task_runner.py:62: DeprecationWarning: This process (pid=889) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-08-25T16:06:21.655+0000] {standard_task_runner.py:64} INFO - Started process 891 to run task
[2025-08-25T16:06:21.663+0000] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'daily_generate_orders', 'load_csv_to_postgres', 'manual__2025-08-25T16:06:17.267720+00:00', '--job-id', '552', '--raw', '--subdir', 'DAGS_FOLDER/generate_fake_shop_csv.py', '--cfg-path', '/tmp/tmp7d8lni5j']
[2025-08-25T16:06:21.670+0000] {standard_task_runner.py:91} INFO - Job 552: Subtask load_csv_to_postgres
[2025-08-25T16:06:21.694+0000] {warnings.py:112} WARNING - /home/airflow/.local/lib/python3.12/site-packages/airflow/settings.py:195: DeprecationWarning: The sql_alchemy_conn option in [core] has been moved to the sql_alchemy_conn option in [database] - the old setting has been used, but please update your config.
  SQL_ALCHEMY_CONN = conf.get("database", "SQL_ALCHEMY_CONN")

[2025-08-25T16:06:21.753+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_generate_orders.load_csv_to_postgres manual__2025-08-25T16:06:17.267720+00:00 [running]> on host b5ea13053d47
[2025-08-25T16:06:21.893+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='daily_generate_orders' AIRFLOW_CTX_TASK_ID='load_csv_to_postgres' AIRFLOW_CTX_EXECUTION_DATE='2025-08-25T16:06:17.267720+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-08-25T16:06:17.267720+00:00'
[2025-08-25T16:06:21.901+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-08-25T16:06:21.934+0000] {base.py:84} INFO - Using connection ID 'postgres_conn' for task execution.
[2025-08-25T16:06:22.022+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.070+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.113+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.154+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.193+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.228+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.251+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.287+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.318+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.352+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.383+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.421+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.479+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.533+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.584+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.626+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.648+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.670+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.692+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.747+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.780+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.801+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.825+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.849+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.868+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.889+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.910+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:22.973+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.025+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.073+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.112+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.153+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.189+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.228+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.263+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.294+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.325+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу shipments
[2025-08-25T16:06:23.338+0000] {logging_mixin.py:188} INFO - ✅ Загружено 200 новых строк в таблицу shipments
[2025-08-25T16:06:23.361+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:06:23.378+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
[2025-08-25T16:06:23.393+0000] {logging_mixin.py:188} INFO - ✅ Загружено 400 новых строк в таблицу customers
